0	1	2	3	4	5	6
2015-01-01 00:00	99.9	999.0	999999.0	320	4.2	0.0
2015-01-01 01:00	-6.2	34.0	101880.0	320	5.2	0.0
2015-01-01 02:00	-6.8	38.0	101870.0	320	4.5	0.0
2015-01-01 03:00	-7.1	39.0	101920.0	320	3.7	0.0
2015-01-01 04:00	-7.4	38.0	101910.0	320	4.6	0.0
2015-01-01 05:00	-7.8	37.0	101910.0	320	3.9	0.0
2015-01-01 06:00	-8.0	38.0	101910.0	320	4.7	0.0
2015-01-01 07:00	-8.4	39.0	101960.0	320	4.5	0.0
2015-01-01 08:00	-8.5	42.0	102010.0	320	3.6	0.0
2015-01-01 09:00	-7.7	43.0	102080.0	320	3.5	61.111116
2015-01-01 10:00	-6.5	38.0	102130.0	320	4.6	188.88890400000003
2015-01-01 11:00	-5.6	36.0	102150.0	320	4.4	302.77780200000007
2015-01-01 12:00	-4.7	36.0	102090.0	290	3.3	383.33336399999996
2015-01-01 13:00	-4.3	35.0	102040.0	290	3.9	413.88892200000004
2015-01-01 14:00	-3.9	37.0	102020.0	270	3.9	391.666698
2015-01-01 15:00	-4.0	38.0	102010.0	270	4.1	319.44446999999997
2015-01-01 16:00	-4.9	44.0	102070.0	270	4.5	211.111128
2015-01-01 17:00	-5.0	42.0	102080.0	290	4.0	63.88889400000001
2015-01-01 18:00	-5.6	44.0	102130.0	290	2.5	2.777778
2015-01-01 19:00	-6.1	48.0	102180.0	290	1.8	0.0
2015-01-01 20:00	-6.4	49.0	102180.0	320	3.0	0.0
2015-01-01 21:00	-6.8	50.0	102200.0	290	1.8	0.0
2015-01-01 22:00	-7.3	52.0	102220.0	320	2.0	0.0
2015-01-01 23:00	-7.3	53.0	102200.0	320	2.7	0.0
2015-01-02 00:00	-7.3	54.0	102160.0	320	1.5	0.0
2015-01-02 01:00	-7.1	56.0	102160.0	270	1.0	0.0
2015-01-02 02:00	-7.3	57.0	102150.0	250	0.9	0.0
2015-01-02 03:00	-6.8	56.0	102160.0	270	1.0	0.0
2015-01-02 04:00	-6.8	56.0	102090.0	320	0.5	0.0
2015-01-02 05:00	-7.3	63.0	102050.0	0	0.4	0.0
2015-01-02 06:00	-6.8	58.0	102050.0	340	1.2	0.0
2015-01-02 07:00	-7.6	63.0	102020.0	230	1.3	0.0
2015-01-02 08:00	-8.3	68.0	102010.0	200	0.5	0.0
