Time,Tair(`C),Humidity(%),Pressure(hPa),WindDirection(Deg),WindSpeed(m/s),GlobalRadiation(MJ/m^2)
2003-01-01 00:00,-3.6,64,1014.5,290,2.3,0
2003-01-01 01:00,-4.4,64,9999.99,270,2.9,0
2003-01-01 02:00,-4.9,66,9999.99,290,2.6,0
2003-01-01 03:00,-5.3,64,1014.9,270,2.7,0
2003-01-01 04:00,-5.8,67,9999.99,270,2.1,0
2003-01-01 05:00,-6,69,9999.99,270,2.4,0
2003-01-01 06:00,-6.2,71,1014.8,270,1.9,0
2003-01-01 07:00,-6.4,72,9999.99,270,1.5,0
2003-01-01 08:00,-6.5,69,9999.99,270,1.1,0
2003-01-01 09:00,-5.8,62,1016.8,270,2.4,0.16
2003-01-01 10:00,-4.7,49,9999.99,320,2.9,0.91
2003-01-01 11:00,-3.8,41,9999.99,320,2.9,1.43
2003-01-01 12:00,-2.9,31,1016.3,290,3.3,1.74
2003-01-01 13:00,-2.3,34,9999.99,290,4.2,1.83
2003-01-01 14:00,-1.3,29,9999.99,270,3.7,1.75
2003-01-01 15:00,-1.1,31,1016.6,290,3.8,1.37
2003-01-01 16:00,-1.3,27,9999.99,320,3.7,0.82
2003-01-01 17:00,-2.2,28,9999.99,290,4.3,0.25
2003-01-01 18:00,-3.3,32,1018.5,270,4.5,0
2003-01-01 19:00,-4.1,37,9999.99,360,1.8,0
2003-01-01 20:00,-5.1,41,9999.99,290,1.7,0
2003-01-01 21:00,-5.8,37,1019.6,320,4.5,0
2003-01-01 22:00,-6.6,37,9999.99,360,2.6,0
2003-01-01 23:00,-6.7,40,9999.99,320,3,0
2003-01-02 00:00,-6.9,41,1021.2,320,2,0
2003-01-02 01:00,-7.6,42,9999.99,20,0.4,0
2003-01-02 02:00,-8.1,48,9999.99,50,1.3,0
2003-01-02 03:00,-8.4,52,1022.2,20,0.8,0
2003-01-02 04:00,-8.8,55,9999.99,50,1.1,0
2003-01-02 05:00,-9.2,55,9999.99,50,1.7,0
2003-01-02 06:00,-9.2,57,1022.2,50,1.1,0
2003-01-02 07:00,-8.9,59,9999.99,20,1.3,0
2003-01-02 08:00,-9.1,58,9999.99,50,2.3,0
2003-01-02 09:00,-7.8,58,1023.7,50,2,0.16
2003-01-02 10:00,-6,47,9999.99,70,3.2,0.86
2003-01-02 11:00,-4.1,40,9999.99,70,2.9,1.33
2003-01-02 12:00,-2.5,35,1021.6,90,1.3,1.35
2003-01-02 13:00,-0.9,28,9999.99,90,0.9,1.54
2003-01-02 14:00,-0.3,28,9999.99,50,1.8,1.2
2003-01-02 15:00,-0.4,28,1019.2,320,1,1.01
2003-01-02 16:00,-0.2,28,9999.99,360,1.5,0.44
2003-01-02 17:00,-0.5,30,9999.99,360,0.8,0.16
2003-01-02 18:00,-1,31,1018.3,270,3.4,0
2003-01-02 19:00,-1.9,38,9999.99,270,3.2,0
2003-01-02 20:00,-2.1,42,9999.99,270,3.5,0
2003-01-02 21:00,-2.4,45,1017.7,290,1.4,0
2003-01-02 22:00,-2.6,44,9999.99,320,1.1,0
2003-01-02 23:00,-2.8,44,9999.99,270,2.6,0
2003-01-03 00:00,-2.8,41,1015.9,290,1,0
2003-01-03 01:00,-3.3,45,9999.99,0,0,0
2003-01-03 02:00,-3.1,46,9999.99,50,0.4,0
2003-01-03 03:00,-2.8,45,1014.2,20,1.5,0
2003-01-03 04:00,-3.4,65,9999.99,50,2.6,0
