Time,Tair(`C),Humidity(%),Pressure(hPa),WindDirection(Deg),WindSpeed(m/s),GlobalRadiation(MJ/m^2)
2017-01-01 00:00,5.6,72,1027.5,290,1.6,0
2017-01-01 01:00,6.6,68,1027.4,290,2.3,0
2017-01-01 02:00,5.5,73,1027.5,270,2.5,0
2017-01-01 03:00,6.4,70,1027.4,270,2.7,0
2017-01-01 04:00,6.9,69,1027.4,270,2.9,0
2017-01-01 05:00,6.7,70,1027.1,270,2.3,0
2017-01-01 06:00,7.6,68,1026.9,270,2.7,0
2017-01-01 07:00,7.2,70,1027.3,290,1.6,0
2017-01-01 08:00,5.4,77,1027.6,290,2.9,0
2017-01-01 09:00,7.8,70,1028,290,2.2,0
2017-01-01 10:00,11.2,58,1028.3,320,1,0
2017-01-01 11:00,12.5,54,1028.2,320,1.1,0
2017-01-01 12:00,13.4,51,1027.5,200,2.1,0
2017-01-01 13:00,13.5,55,1026.6,200,3.1,0
2017-01-01 14:00,13.9,53,1025.4,180,1.8,0
2017-01-01 15:00,12.7,60,1024.7,180,2.1,0
2017-01-01 16:00,12.7,61,1024.2,180,1.9,0
2017-01-01 17:00,12.3,61,1023.7,110,1.2,0
2017-01-01 18:00,8.9,79,1023.4,0,0.2,0
2017-01-01 19:00,9.3,77,1023.8,270,1.1,0
2017-01-01 20:00,9.6,75,1023.8,290,1.2,0
2017-01-01 21:00,9.6,75,1023.8,290,1.9,0
2017-01-01 22:00,9.4,75,1023.1,320,1.2,0
2017-01-01 23:00,8.7,78,1022.6,290,2,0
2017-01-02 00:00,8.8,75,1022.4,290,2.2,0
2017-01-02 01:00,8.9,76,1021.9,290,1.6,0
2017-01-02 02:00,9.2,76,1021.4,290,1.4,0
2017-01-02 03:00,9.4,76,1021.5,290,1.5,0
2017-01-02 04:00,9.4,77,1020.9,320,1.3,0
2017-01-02 05:00,8.5,81,1020.1,290,1.6,0
2017-01-02 06:00,10.1,74,1020,290,1.7,0
2017-01-02 07:00,10.1,82,1020.4,290,1.7,0
2017-01-02 08:00,10.4,84,1020.7,290,1.5,0
2017-01-02 09:00,10.6,88,1021.2,320,1.3,0
2017-01-02 10:00,10.8,92,1021.4,340,2.6,0
2017-01-02 11:00,11.3,86,1021.6,290,1.6,0
2017-01-02 12:00,12,79,1020.7,290,2.6,0
2017-01-02 13:00,13.4,71,1019.9,340,1.6,0
2017-01-02 14:00,13.6,75,1019.5,340,2.5,0
2017-01-02 15:00,14,71,1019.2,360,1.9,0
2017-01-02 16:00,13,76,1019.6,340,3.2,0
2017-01-02 17:00,12.4,76,1019.9,290,2.3,0
2017-01-02 18:00,10.8,81,1020.2,290,1.1,0
2017-01-02 19:00,10.6,78,1020.4,290,4.3,0
2017-01-02 20:00,9.6,82,1020.8,290,4.1,0
2017-01-02 21:00,9.5,82,1021.3,290,3.6,0
2017-01-02 22:00,8.5,86,1021.4,290,2.3,0
2017-01-02 23:00,8.1,87,1021.2,290,1.7,0
2017-01-03 00:00,8.5,86,1020.9,290,1,0
2017-01-03 01:00,6.1,91,1020.7,0,0.2,0
2017-01-03 02:00,8.4,86,1020.9,290,2.5,0
2017-01-03 03:00,9.2,82,1021.4,290,4.1,0
2017-01-03 04:00,8.9,79,1021.6,290,4.3,0
2017-01-03 05:00,7.6,85,1021.7,290,3,0
2017-01-03 06:00,7,85,1021.6,290,3.2,0
2017-01-03 07:00,7.5,80,1021.8,290,4.4,0
2017-01-03 08:00,6.7,82,1022.3,290,2.1,0
2017-01-03 09:00,7.7,75,1022.5,290,2.3,0
2017-01-03 10:00,9.2,67,1023,320,2.8,0
2017-01-03 11:00,10.4,55,1023.1,320,3.2,0
2017-01-03 12:00,11.1,49,1022.2,340,3.8,0
2017-01-03 13:00,11,47,1021.3,360,5.7,0
2017-01-03 14:00,11.5,46,1020.6,340,4.6,0
2017-01-03 15:00,12,31,1020.6,320,3,0
2017-01-03 16:00,12,38,1020.5,320,2.3,0
2017-01-03 17:00,10.4,44,1020.7,340,1.9,0
2017-01-03 18:00,8.6,46,1020.8,290,2.3,0
