Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
-5.5,54,1024.1,290,1,0.0
-5.9,56,1024,270,1.8,0.0
-6.5,60,1024.2,290,1.2,0.0
-6.9,62,1024.3,270,2.2,0.0
-7.2,57,1023.9,270,1.2,0.0
-7.6,59,1023.6,270,2.1,0.0
-7.9,60,1023.6,290,1.3,0.0
-7.7,58,1023.1,320,1.3,0.0
-7.7,57,1023,360,0.9,0.0
-7,50,1023.2,290,0.9,47.222226000000006
-4.9,44,1023.3,290,1.6,191.66668199999998
-3.7,41,1023,290,2.5,347.22225000000003
-2.8,47,1022,290,2.8,391.666698
-1.5,49,1020.9,270,2.7,394.444476
-1.7,51,1020.4,290,3.5,300.00002400000005
-1.5,46,1020.7,270,3,183.33334800000003
-0.9,45,1020.6,270,3.2,241.666686
-1.8,48,1020.9,290,2.2,77.77778400000001
-2.7,45,1021,270,2.6,2.777778
-3.2,45,1021.8,270,3.2,0.0
-3.9,42,1022.2,290,3.5,0.0
-4.6,36,1022.6,340,2.6,0.0
-5.4,43,1022.9,290,3.1,0.0
-6,48,1022.7,20,1.1,0.0
-6.7,50,1023,320,1.3,0.0
-7.2,52,1023.2,290,0.8,0.0
-7.8,54,1023.6,270,1.3,0.0
-8,55,1023.6,290,0.9,0.0
-8.4,59,1023.1,270,1.3,0.0
-8.5,57,1022.9,290,0.8,0.0
-8.5,57,1023.3,270,0.6,0.0
-8.5,61,1023.8,320,0.7,0.0
-8.7,63,1024.5,290,0.8,0.0
-7.5,51,1025.1,320,1.4,72.222228
-5.6,40,1025.4,320,1.5,244.444464
-4.1,33,1024.8,320,2.2,377.77780800000005
-2.8,29,1023.8,320,3.2,469.444482
-1.8,26,1022.8,320,3,502.777818
-0.2,22,1022.2,270,2.5,480.55559400000004
0,23,1022.2,290,2.6,397.222254
0,22,1022.2,320,2,261.111132
-1,32,1022.1,270,1.8,102.777786
-2.6,37,1022.8,270,2.2,2.777778
-3.3,39,1023,270,2,0.0
-3.9,43,1023,290,1.1,0.0
-4.4,44,1022.9,270,1.7,0.0
-4.3,47,1023.1,320,2,0.0
-4.6,47,1023.5,290,1.6,0.0
-5.4,46,1023.8,290,2.4,0.0
-6.1,48,1023.8,320,0.8,0.0
-7,53,1024,290,0.8,0.0
-7.5,51,1024.2,290,0.7,0.0
-7.7,53,1024,270,2.4,0.0
-8,57,1024.1,290,1.1,0.0
-8.1,54,1024.5,270,1.7,0.0
-8.3,58,1024.5,360,0.7,0.0
-8.4,56,1024.7,290,0.9,0.0
-7.7,43,1025.3,20,0.5,69.44445
-4.8,33,1025.8,320,1,238.88890800000001
-2.4,30,1025.8,290,1.3,375.00003000000004
-0.4,26,1025,290,1.9,466.666704
1.1,22,1024.1,270,1.4,497.22226200000006
2.4,20,1023.4,180,1.9,469.444482
2.9,20,1023.2,180,2.3,380.55558600000006
3.2,19,1022.9,180,1.7,255.55557600000003
1.5,20,1023,290,1.2,100.000008
-0.4,22,1023.3,270,1.6,2.777778
-0.9,24,1024.2,290,2,0.0
-1.7,45,1025,270,1.5,0.0
-2.7,47,1024.1,290,0.7,0.0
-3.3,42,1024,290,0.7,0.0
-3.9,41,1024.6,270,1.3,0.0
-3.9,47,1024.3,290,0.8,0.0
-4.1,46,1023.9,0,0.4,0.0
-4.5,44,1024,20,0.6,0.0
-4.9,47,1023.2,50,1.1,0.0
-5.2,50,1023,20,0.6,0.0
-5.5,47,1022.5,360,0.7,0.0
-5.8,50,1022.1,20,0.8,0.0
-6,55,1021.5,50,1.2,0.0
-6.1,54,1021.4,20,1.1,0.0
-5.4,49,1021.9,50,1.3,61.111116
-3.5,40,1022.1,360,0.7,175.00001400000002
-1.5,37,1021.5,360,1,202.777794
-0.4,34,1020.5,360,0.7,177.777792
1.1,40,1020.1,230,1.5,219.44446200000002
3.1,36,1019.2,200,2.5,352.777806
3.9,40,1018.2,230,2.7,341.666694
3,49,1017.8,250,1.6,141.66667800000002
2.7,61,1017.3,270,1.3,50.000004
2.3,69,1017.4,250,1.5,0.0
1.5,74,1017.2,230,1,0.0
1.4,75,1017.1,270,1.2,0.0
1.4,75,1016.6,270,1.8,0.0
0.7,79,1016.3,250,1.1,0.0
0.1,81,1016.2,290,1,0.0
-0.2,80,1015.8,270,1.7,0.0
-0.4,81,1016.1,320,2.2,0.0
-1.5,75,1016.5,290,3,0.0
-2.2,75,1016.6,320,2.1,0.0
-2.9,65,1016.2,360,1.4,0.0
-3.8,61,1016.2,340,1.2,0.0
-4.5,58,1016.3,320,0.6,0.0
-4.6,50,1016.2,340,1.6,0.0
-4.5,46,1016.8,320,3.3,0.0
-4.7,47,1017.2,320,2.9,66.666672
-4,45,1017.9,320,3.5,225.00001800000004
-2.8,38,1018.1,320,3.7,352.777806
-2,34,1017.3,290,3.6,372.222252
-0.7,30,1016.8,290,2.8,494.44448400000005
-0.5,25,1016.2,290,2.4,488.888928
0.6,20,1015.9,270,3.5,400.000032
0.4,21,1015.5,320,2.7,275.000022
-0.3,21,1015.3,290,1.9,113.888898
-1.5,23,1015.8,270,1.6,2.777778
-2.1,26,1016.1,290,1.5,0.0
-2.6,28,1015.9,290,1.7,0.0
-2.9,28,1016.4,340,1.8,0.0
-3.9,31,1016.8,290,1.7,0.0
-4.8,35,1017,290,1.5,0.0
-5.5,37,1017.1,290,1.4,0.0
-6,37,1017.3,290,1.8,0.0
-6.3,38,1017.6,290,0.9,0.0
-5.9,37,1017.7,0,0.1,0.0
-5.7,35,1017.1,340,0.8,0.0
-5.6,36,1016.9,0,0.3,0.0
-5.4,35,1017,360,0.5,0.0
-5.3,38,1016.9,50,1.2,0.0
-5.7,39,1017.7,360,0.7,0.0
-5.2,38,1018.2,320,0.9,41.66667
-4.2,35,1018.6,0,0.3,119.44445400000001
-1.3,31,1018.5,250,1.7,322.222248
0.2,28,1018.3,270,2.2,450.0000360000001
1.6,21,1016.9,250,1.3,497.22226200000006
1.8,22,1016.9,270,2.1,472.22226
2.1,21,1016.7,290,2.8,391.666698
2.5,22,1017.2,290,1.8,266.666688
0.8,28,1017.3,290,1.8,113.888898
-0.9,28,1017.6,290,1.6,2.777778
-1.7,35,1018.1,270,2.4,0.0
-2.3,48,1018.1,230,0.7,0.0
-3.1,48,1018.2,270,1.3,0.0
-3.7,49,1018.1,0,0.2,0.0
-3.8,48,1018.1,0,0.4,0.0
-4.1,45,1017.4,20,0.5,0.0
-4.3,51,1017.7,290,1.2,0.0
-4.5,55,1018.2,290,0.9,0.0
-4.9,56,1018.4,290,0.6,0.0
-5.2,57,1018.3,270,1.3,0.0
-5.5,59,1018.1,0,0.2,0.0
-5.9,57,1018,20,0.7,0.0
-6.2,56,1018,20,0.6,0.0
-6,52,1018.1,360,0.5,0.0
-5.4,51,1018.6,50,0.9,61.111116
-2.3,46,1018.8,180,1.6,205.555572
-0.5,40,1018.7,320,2,316.666692
0.6,33,1017.7,320,2.8,427.77781200000004
1.4,31,1017.2,320,2.4,441.66670200000004
1.7,34,1016.8,320,3.6,386.111142
2.6,34,1016.6,290,3,322.222248
2.7,31,1016.6,290,1.9,180.55557000000002
1.7,29,1016.6,320,1.8,75.00000600000001
0.6,34,1016.6,290,1.1,2.777778
0.2,41,1016.4,290,1.6,0.0
-0.3,55,1016.7,290,2,0.0
-0.6,63,1016.6,290,0.9,0.0
-1.4,64,1016.4,290,0.8,0.0
-1.9,52,1016.5,320,0.8,0.0
-2.2,43,1016.4,290,1.8,0.0
-2.5,46,1016.3,320,1,0.0
-2.6,39,1016.9,340,1.8,0.0
-3.1,34,1017.4,320,1.6,0.0
-4.2,36,1017.3,290,0.8,0.0
-4.9,38,1017.1,180,0.5,0.0
-5.3,38,1016.8,230,0.6,0.0
-5.4,40,1016.9,270,0.8,0.0
-5.6,42,1017.1,290,0.6,0.0
-4.6,40,1017.5,270,2.3,66.666672
-2.9,36,1018.1,290,2,230.555574
-2.1,32,1018.1,320,3.3,372.222252
-0.9,27,1017.2,290,2.7,469.444482
-0.2,26,1016.8,290,3.2,505.55559600000004
-0.4,23,1016.2,290,4.9,483.333372
0.3,20,1016.8,290,3.4,397.222254
0.2,23,1017.5,290,5.2,269.444466
-0.8,21,1017.3,290,5,108.33334200000002
-2,21,1017.2,290,3,2.777778
-3.2,21,1018.6,290,5.1,0.0
-5,32,1019.5,320,6.5,0.0
-5.7,34,1020.5,320,2.1,0.0
-6.6,35,1020.8,90,0.6,0.0
-7.1,34,1021.3,320,1.8,0.0
-7,34,1022,340,2,0.0
-7.5,34,1022.2,290,1.1,0.0
-7.7,34,1022.8,290,2.5,0.0
-7.6,31,1023.3,360,1.9,0.0
-8.3,32,1023.4,340,0.7,0.0
-8.8,33,1023.7,50,1.1,0.0
-9.2,35,1024.1,360,0.8,0.0
-9.3,36,1024.5,20,0.5,0.0
-9.3,37,1024.5,20,0.9,0.0
-8.6,35,1024.9,50,1.5,77.77778400000001
-6.2,31,1025.3,50,1,236.11113
-3.6,27,1024.9,50,1.2,352.777806
-2.4,25,1023.7,50,1.6,358.333362
-1.9,23,1022.7,50,1.4,297.22224600000004
-0.8,20,1021.8,20,0.8,361.11114000000003
0.7,19,1021.7,200,1.3,313.888914
0.8,20,1021.2,320,1.4,241.666686
-0.4,22,1020.6,320,1.9,108.33334200000002
-2,24,1020.4,290,1.4,5.555556
-2.8,27,1020.2,270,0.8,0.0
-3.4,29,1020,290,1.7,0.0
-4,30,1019.6,290,1.6,0.0
-4.2,30,1019.6,270,1.6,0.0
-4.4,30,1019.1,270,1.7,0.0
-4.3,31,1018.4,270,1.4,0.0
-4.1,31,1017.8,290,1.2,0.0
-3.9,31,1017.8,290,2.6,0.0
-4.2,30,1017.6,250,1.4,0.0
-4,29,1017,290,1.7,0.0
-4.1,30,1016.4,270,2.2,0.0
-4.2,31,1016.3,0,0.4,0.0
-4.3,30,1016.2,360,0.5,0.0
-4.1,32,1015.9,20,0.5,0.0
-3.8,33,1016,20,0.6,50.000004
-2.2,32,1016.2,340,1,133.333344
-1,32,1016.1,0,0.4,138.8889
2,36,1015.1,290,1.6,408.333366
2.2,43,1014.2,230,2.5,311.11113600000004
1.9,39,1013.8,290,3,169.444458
2.3,50,1013.9,290,3,194.44446
2.7,51,1014.2,250,2.7,177.777792
2.2,54,1014.5,270,1.8,58.333338
1.5,60,1014.6,290,1.6,2.777778
1,65,1015.3,270,1.6,0.0
0.8,69,1015.8,200,1.9,0.0
0.6,75,1015.4,230,0.8,0.0
0.6,77,1015.3,0,0.3,0.0
0.5,78,1015.1,20,0.7,0.0
0.6,75,1015.2,270,0.7,0.0
0.7,75,1015.3,290,0.6,0.0
0.8,74,1015.4,0,0.4,0.0
0.6,75,1015.5,320,0.7,0.0
0.3,76,1015.3,0,0.4,0.0
0.1,76,1015.2,20,0.6,0.0
0.1,75,1015.6,20,1,0.0
-0.1,76,1016.2,20,0.6,0.0
-0.3,78,1016.1,20,1.1,0.0
-0.2,75,1016.1,50,1.3,52.777782
1.1,66,1016.4,70,1.3,175.00001400000002
2.9,56,1016.1,90,1.3,333.33336
4.7,47,1015.6,110,1.2,413.88892200000004
5.9,42,1014.9,270,0.8,455.555592
6.8,41,1013.7,340,0.9,419.444478
6.5,43,1013.7,340,0.9,313.888914
6,43,1013.4,50,0.8,138.8889
5,45,1013.1,50,1.2,61.111116
4.3,45,1013.5,340,1.2,5.555556
3.7,47,1013.6,290,2.2,0.0
2.9,49,1013.2,320,1.2,0.0
2.2,52,1012.3,360,0.6,0.0
1.6,54,1011.9,290,1.5,0.0
1.6,54,1012,320,0.6,0.0
1.2,58,1011.4,0,0.4,0.0
1.5,52,1011.2,0,0.2,0.0
1.4,56,1011.3,290,0.6,0.0
1.5,54,1011.6,0,0.4,0.0
1.4,52,1011.3,0,0.4,0.0
1.5,53,1011.3,20,0.8,0.0
1.5,54,1011.6,0,0.3,0.0
1.3,53,1012,0,0.3,0.0
1,56,1012,360,0.7,0.0
1.3,51,1012.2,0,0.4,47.222226000000006
2.5,52,1012.6,270,1.5,138.8889
3.8,46,1012.3,270,1,222.22224000000003
5.7,37,1011.6,290,1.3,388.88892
6.8,35,1011,290,2,391.666698
7,35,1010.8,290,2.9,366.66669600000006
7.8,33,1010.6,290,1.8,355.555584
6.9,34,1011.6,250,1.7,147.22223400000001
5.5,42,1012.5,270,2.9,77.77778400000001
3.8,46,1013,290,2.8,5.555556
2.7,48,1012.9,340,1.1,0.0
2.2,45,1013.1,290,1.6,0.0
1.4,50,1013,290,2.7,0.0
0.7,53,1013.2,270,1,0.0
0,53,1013.1,20,0.5,0.0
-0.6,56,1013.5,290,1.3,0.0
-1,60,1013.9,270,1.9,0.0
-0.8,61,1014.7,270,1.4,0.0
-1.4,60,1014.8,270,0.8,0.0
-2.2,59,1014.3,50,0.6,0.0
-2.6,62,1014.1,360,0.9,0.0
-2.9,64,1014,360,0.7,0.0
-2.9,63,1014.2,20,0.5,0.0
-2.9,64,1014.7,360,0.5,0.0
-2.4,56,1015.4,0,0.4,61.111116
-0.3,51,1015.7,270,1.5,208.33335
2.5,42,1015.7,270,1.6,341.666694
4,32,1014.9,290,1.6,436.111146
6.3,31,1014,200,2.3,477.77781600000003
7,26,1013.9,290,2.4,469.444482
7.1,25,1014.1,270,3,391.666698
7.2,26,1013.8,290,1.7,263.88891
5.7,31,1014.2,290,1.5,108.33334200000002
4.3,45,1014.5,250,1.3,11.111112
3.1,63,1015.1,0,0.3,0.0
2.1,71,1015.2,250,0.9,0.0
1.4,75,1015.2,290,1.8,0.0
0.9,78,1015.4,270,1,0.0
0.3,74,1015.7,270,1.4,0.0
-0.2,77,1015.8,0,0.2,0.0
-0.7,78,1015.6,270,1.3,0.0
-1,79,1015.7,290,0.8,0.0
-1,78,1015.9,0,0.1,0.0
-1.2,80,1015.5,20,0.6,0.0
-1.6,80,1015.2,20,0.6,0.0
-1.9,80,1015.5,20,0.6,0.0
-2.2,82,1015.8,0,0.4,0.0
-2.2,79,1016.1,20,0.5,0.0
-1.7,75,1016.3,360,0.5,47.222226000000006
-0.4,72,1017,200,0.7,80.555562
1.4,64,1017.1,360,0.7,225.00001800000004
3.1,56,1016.5,20,1,300.00002400000005
4.1,54,1014.7,70,1,294.44446800000003
4.8,53,1014,90,1.2,269.444466
5.2,52,1014.2,160,1.2,244.444464
4.9,52,1014.2,290,1.3,136.111122
4.2,57,1013.8,340,1,72.222228
3.2,62,1013.7,290,1.7,5.555556
2.7,68,1014,290,1.8,0.0
2.5,72,1014,290,1.4,0.0
2.2,74,1013.5,290,1.1,0.0
2.2,73,1013,0,0.2,0.0
2.1,73,1012.7,340,0.5,0.0
2.3,72,1012.6,290,1.1,0.0
2.4,73,1012.1,290,1.8,0.0
2.2,72,1012.2,320,1.5,0.0
1.9,72,1012.6,320,1.8,0.0
1.2,75,1012.4,290,2.2,0.0
0.3,81,1011.7,320,1.8,0.0
-0.8,83,1011.7,270,1.9,0.0
-1.5,81,1011.9,250,0.8,0.0
-1.9,79,1011.8,200,0.8,0.0
-1.5,74,1012.3,270,2.2,44.444448
-0.7,69,1012.7,290,2.9,113.888898
0.1,62,1012.7,290,2.8,236.11113
0,64,1012.3,290,4.1,197.222238
0.4,61,1012.1,320,4,208.33335
1.6,49,1011.5,270,3,350.00002800000004
2.6,40,1011.4,270,2.7,366.66669600000006
1.1,31,1011.7,270,4.3,272.222244
-1,43,1012.4,290,4.2,127.77778800000002
-2.8,34,1013,290,4.2,8.333334
-3.9,43,1014.3,290,4.3,0.0
-5.3,47,1015.3,290,4.3,0.0
-6.2,51,1015.8,290,2.5,0.0
-6.5,51,1016.2,340,3.2,0.0
-6.8,51,1016.4,340,2.2,0.0
-7.1,52,1016.5,340,2.5,0.0
-7.3,52,1016.6,340,4,0.0
-7.7,53,1016.8,320,2.8,0.0
-8.1,50,1017.3,320,2.7,0.0
-8.8,53,1017,20,0.5,0.0
-9.3,51,1016.8,270,3.1,0.0
-9.4,50,1016.9,340,2.1,0.0
-9.8,51,1016.9,320,1.4,0.0
-9.8,49,1017.4,290,2.2,0.0
-9.1,46,1017.1,320,2.2,66.666672
-7.2,41,1017.4,180,1.7,194.44446
-5.3,34,1018,270,1.8,352.777806
-4.6,32,1017.8,270,2.9,344.444472
-4,28,1016.9,290,3.2,519.4444860000001
-2.7,19,1016,320,2.9,511.11115200000006
-1.9,21,1015.6,290,2.6,433.33336800000006
-1.7,25,1015.2,320,2.6,305.55558
-1.9,29,1014.6,270,1.5,138.8889
-3.2,33,1014.2,270,1.7,11.111112
-3.3,37,1014.3,270,1.8,0.0
-3.1,41,1014.4,230,2.5,0.0
-3.1,55,1014.5,230,2.6,0.0
-2.9,61,1014.1,200,2.2,0.0
-2.8,67,1014,200,1.4,0.0
-2.6,80,1013.7,200,1.6,0.0
-2.4,80,1013.1,200,0.9,0.0
-2.4,78,1012.7,0,0.1,0.0
-2.2,78,1012.6,0,0.4,0.0
-2.1,77,1012.1,0,0.3,0.0
-2.2,78,1011.7,0,0.3,0.0
-2.1,71,1011.4,0,0.3,0.0
-2.7,75,1011.8,0,0.2,0.0
-3.1,74,1012.4,320,0.8,0.0
-2.3,66,1012.8,290,1.9,66.666672
-0.7,56,1013.1,290,2.9,230.555574
0.7,39,1013.6,290,3,386.111142
1.8,27,1013.4,320,2.8,472.22226
2.4,21,1012.3,320,4.4,530.555598
3.2,19,1011.9,340,4.5,508.33337400000005
3.3,20,1012.2,320,4.3,430.55559000000005
4,20,1012.4,270,3.4,297.22224600000004
3,22,1012.9,270,3.8,138.8889
1.6,27,1013,270,2.9,13.888890000000002
0.7,31,1013.7,250,2.5,0.0
0.1,39,1014.4,290,1.3,0.0
-0.7,42,1015,290,0.6,0.0
-1.5,40,1015.6,0,0.3,0.0
-1.8,34,1016.3,290,0.7,0.0
-2.1,35,1016.6,320,0.9,0.0
-2.6,35,1016.5,290,0.9,0.0
-3,35,1016.7,290,1.1,0.0
-3.1,34,1016.7,290,1,0.0
-3.6,34,1016.2,290,0.9,0.0
-4,41,1016.5,270,1.4,0.0
-4.3,42,1016.7,290,0.8,0.0
-4.3,42,1017.4,340,0.7,0.0
-4.6,44,1018.1,340,0.8,0.0
-3.9,39,1018.5,0,0.4,75.00000600000001
-1.4,35,1017.9,20,1.3,247.22224200000002
1.8,30,1018.3,290,0.7,383.33336399999996
4.3,26,1017.8,180,1.7,475.000038
5.3,23,1016.5,200,2.9,497.22226200000006
6.1,31,1015.8,270,1.9,475.000038
6.5,33,1015.9,270,2.7,383.33336399999996
5.8,37,1016.3,290,3.1,252.77779800000002
4.5,45,1016.1,270,2.4,94.44445200000001
3,51,1015.9,290,1.6,5.555556
2.2,55,1015.7,290,1.3,0.0
1.7,58,1016.1,290,1.5,0.0
1.5,60,1016,320,1,0.0
1.4,63,1015.9,0,0.3,0.0
0.9,64,1015.8,20,0.5,0.0
0.4,67,1015.7,20,0.6,0.0
0.5,64,1015.9,20,0.6,0.0
0.5,64,1015.3,50,1,0.0
0.2,63,1015.2,70,0.7,0.0
0.1,63,1014.9,50,1.3,0.0
0.1,64,1014.7,20,0.9,0.0
0.2,64,1014.5,50,1,0.0
0.5,63,1014.5,50,1.1,0.0
0.6,62,1014.8,50,1,0.0
1.4,58,1014.6,50,1,47.222226000000006
2.7,53,1014.5,70,1.1,147.22223400000001
3.6,52,1014.4,50,1.3,138.8889
5,50,1013.6,70,1.4,216.66668400000003
6.3,51,1012.3,140,0.7,238.88890800000001
7.6,51,1011.1,230,2,352.777806
8.1,48,1010.2,200,1.7,313.888914
7.7,47,1009.8,20,0.8,136.111122
7.7,48,1009.1,270,1.2,141.66667800000002
5.9,57,1008.8,290,1.1,8.333334
4.7,62,1008.7,290,1.2,0.0
3.9,66,1008.5,270,1.2,0.0
3.9,66,1008.4,290,2.9,0.0
4.1,67,1008.2,320,1.9,0.0
4.3,67,1008.1,320,1.8,0.0
3.9,72,1008,270,1.9,0.0
3.6,76,1007.8,290,2.5,0.0
2.7,77,1007.5,290,2,0.0
2,78,1007.7,270,1.8,0.0
1.2,68,1008.2,290,3.6,0.0
0.2,54,1008,290,1.8,0.0
-0.8,47,1008.9,290,3.5,0.0
-1.6,52,1009.4,290,2.6,0.0
-2.4,50,1010.6,270,3.6,0.0
-2.4,38,1011.5,320,5.3,75.00000600000001
-1.6,34,1012.1,290,4.1,258.33335400000004
-0.6,30,1012.6,290,3,402.77781
-0.4,28,1012.3,290,4.4,491.66670600000003
0.7,26,1012,270,4.6,538.888932
1.1,24,1011.7,290,3.8,511.11115200000006
1.5,20,1011.6,290,3.1,444.44448000000006
1,20,1011.7,290,4.6,313.888914
0.1,21,1011.9,290,4,155.55556800000002
-1.4,24,1012.1,290,2.9,19.444446000000003
