Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
-8.9,78,100900,20,0.6,0.0
-9.3,74,100890.0,0,0,0.0
-9.6,74,100910.0,270,0.9,0.0
-9.9,73,100970.0,0,0.2,0.0
-10.5,79,100980.0,0,0,0.0
-11.3,84,101030.0,0,0.2,0.0
-11.9,84,101100,290,0.8,0.0
-12.2,85,101120.0,320,1,0.0
-11.4,84,101210.0,0,0.1,2.777778
-10,80,101270.0,0,0,44.444448
-7.5,68,101390.0,160,0.6,194.44446
-5.7,44,101420.0,340,1.7,300.00002400000005
-4.6,40,101400,320,1.1,472.22226
-3.3,41,101380.0,340,1.9,461.111148
-2.6,41,101380.0,320,1.5,366.66669600000006
-1.4,41,101430.0,340,1.5,313.888914
-0.8,41,101470.0,320,1.9,280.555578
-1.5,48,101510.0,340,1.3,116.666676
-3.1,55,101600,360,1.8,5.555556
-4.2,62,101650.0,340,2.3,0.0
-5,67,101700,340,0.8,0.0
-5.6,70,101720.0,0,0,0.0
-6.4,76,101780.0,0,0.1,0.0
-7.2,79,101870.0,270,0.5,0.0
-8,83,101890.0,320,1.2,0.0
-8.5,85,101930.0,290,1.1,0.0
-8.8,86,101970.0,290,1.6,0.0
-9.4,87,102000,0,0,0.0
-9.8,87,101960.0,290,1,0.0
-10.1,87,101960.0,290,1.2,0.0
-10.5,88,101980.0,0,0.1,0.0
-10.7,87,102040.0,320,0.7,0.0
-10.8,88,102060.0,320,1.3,2.777778
-9.8,88,102130.0,0,0.4,102.777786
-6.5,77,102100,0,0.1,266.666688
-4.5,65,102050.0,160,0.9,391.666698
-2.1,53,101970.0,200,0.9,602.777826
0.2,49,101860.0,110,1.5,575.000046
1.3,45,101810.0,110,1.8,516.6667080000001
1.7,36,101760.0,340,2.1,391.666698
0.7,45,101740.0,340,2.5,250.00002
-0.8,49,101730.0,340,2.4,77.77778400000001
-2.2,56,101760.0,340,1.7,5.555556
-3.2,68,101780.0,340,1.4,0.0
-3.8,73,101740.0,340,1.1,0.0
-4.5,77,101760.0,340,1.1,0.0
-4.8,78,101740.0,360,1.1,0.0
-5.7,81,101740.0,230,0.7,0.0
-6.2,85,101720.0,0,0.1,0.0
-7.2,87,101650.0,250,0.6,0.0
-7.7,88,101650.0,270,1.4,0.0
-8.1,89,101670.0,0,0.4,0.0
-8.9,88,101610.0,290,1.2,0.0
-9.3,88,101580.0,320,0.5,0.0
-9.7,88,101590.0,320,0.9,0.0
-9.9,88,101610.0,0,0.3,0.0
-10.3,87,101630.0,340,1,2.777778
-8.6,87,101630.0,0,0.1,94.44445200000001
-6.9,86,101580.0,90,0.6,166.66668
-5.3,75,101560.0,180,1.2,294.44446800000003
-3,61,101470.0,180,1.4,461.111148
-1.1,48,101400,320,0.6,436.111146
-1,48,101320.0,320,1.5,344.444472
-0.3,48,101300,340,1.5,327.777804
-0.8,53,101290.0,360,1.6,161.111124
-1.1,59,101320.0,20,0.8,27.777780000000003
-1.3,61,101360.0,360,1.3,0.0
-1.7,67,101360.0,340,1.3,0.0
-2.2,69,101370.0,340,1.7,0.0
-2.3,68,101370.0,0,0.4,0.0
-2.4,69,101390.0,90,0.7,0.0
-2.5,69,101370.0,0,0.1,0.0
-2.9,72,101350.0,230,1.1,0.0
-3.5,76,101330.0,230,1,0.0
-4.4,79,101340.0,320,0.5,0.0
