Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
-0.5,57,102030.0,50,0.9,0.0
0.3,54,102010.0,290,1.2,0.0
0.3,53,102000,320,1.4,0.0
0.5,52,102010.0,290,1.5,0.0
0.3,51,101980.0,290,1.5,0.0
-0.6,53,101950.0,290,0.9,0.0
0.4,48,101930.0,270,2.1,0.0
-1.1,53,101940.0,290,1.1,0.0
0.4,43,101960.0,320,0.7,0.0
1.3,41,101960.0,320,1,0.0
3.7,31,101950.0,180,0.7,0.0
4.1,28,101900,140,1.3,0.0
4.2,29,101780.0,290,2.5,0.0
4.2,29,101680.0,270,3.8,0.0
3.7,32,101620.0,290,3.7,0.0
2.8,33,101620.0,270,4.1,0.0
2.1,38,101690.0,320,2.3,0.0
1,43,101780.0,320,2.7,0.0
0.1,43,101940.0,290,4.9,0.0
-0.7,52,102000,290,4.2,0.0
-0.4,50,102040.0,320,2.1,0.0
-1,52,102070.0,320,2,0.0
-0.3,53,102090.0,340,1.4,0.0
-0.1,55,102100,340,1.9,0.0
0.4,60,102110.0,320,1.6,0.0
0.1,58,102100,290,2.4,0.0
-1.4,57,102150.0,290,3.1,0.0
-1.5,55,102200,290,4.1,0.0
-1.9,57,102200,290,4.5,0.0
-2.3,59,102210.0,290,4,0.0
-2.3,59,102220.0,290,2.9,0.0
-2.4,57,102260.0,290,4.3,0.0
-2.7,57,102280.0,290,4.2,0.0
-2.1,56,102340.0,270,1.5,0.0
0.5,47,102340.0,290,1.2,0.0
2,42,102310.0,360,1.5,0.0
2.9,41,102230.0,360,1.8,0.0
3.7,44,102180.0,360,3,0.0
3.6,45,102130.0,50,2.6,0.0
3.5,49,102070.0,50,2.3,0.0
2.8,57,102110.0,340,2.2,0.0
1.7,62,102110.0,320,1.7,0.0
1,51,102120.0,320,1.7,0.0
0.2,50,102130.0,320,2.4,0.0
-0.7,50,102110.0,320,1.4,0.0
-1.3,49,102020.0,290,1.4,0.0
-1.2,48,102020.0,290,2.5,0.0
-1.6,46,101990.0,320,1.4,0.0
-2.5,47,101950.0,290,0.8,0.0
-1.8,42,101950.0,270,2.7,0.0
-3.2,46,101950.0,250,0.9,0.0
-3.3,47,101920.0,290,1.4,0.0
-4.1,50,101890.0,270,1.6,0.0
-2.8,42,101870.0,290,2.5,0.0
-3.6,44,101840.0,110,0.5,0.0
-2.1,39,101790.0,90,1.3,0.0
-2.1,41,101860.0,270,0.7,0.0
-0.6,35,101880.0,230,1.8,0.0
0.7,30,101860.0,290,4.1,0.0
1.8,31,101780.0,360,1.4,0.0
2.3,32,101620.0,360,3.3,0.0
2.8,30,101510.0,340,2.8,0.0
3,31,101410.0,290,3.4,0.0
2.4,35,101420.0,290,4.2,0.0
2.3,34,101420.0,320,2.6,0.0
1,42,101430.0,320,2.3,0.0
0.3,49,101490.0,290,4.4,0.0
0,46,101470.0,290,6,0.0
-0.6,47,101470.0,290,4.3,0.0
-1,44,101450.0,270,2.3,0.0
-1.5,42,101450.0,250,3.2,0.0
-2.1,41,101380.0,270,5.7,0.0
-2.8,43,101420.0,290,8.2,0.0
-4.1,39,101500,290,3.2,0.0
-4.4,44,101520.0,110,1.9,0.0
-4.6,38,101560.0,290,3.2,0.0
-5.4,42,101590.0,270,3.4,0.0
-5.2,42,101610.0,270,3,0.0
-4.9,45,101630.0,320,1.1,0.0
-4.9,47,101710.0,290,2.2,0.0
-4.3,48,101760.0,290,2.1,0.0
-3.4,43,101880.0,290,2.6,0.0
-2.3,39,101930.0,290,2.5,0.0
-1.6,37,101940.0,290,3.8,0.0
-0.1,34,101880.0,340,1.9,0.0
0.7,29,101820.0,270,1.5,0.0
1,27,101760.0,270,2.5,0.0
0.9,25,101770.0,250,1.9,0.0
-0.3,29,101840.0,340,1.6,0.0
-1.2,32,101880.0,180,1.4,0.0
-1.6,31,101940.0,200,1.1,0.0
-2.5,34,101970.0,290,0.8,0.0
-2.8,33,102030.0,230,1.2,0.0
-3.2,33,102040.0,320,2,0.0
-3,31,102070.0,290,4.2,0.0
-4,33,102110.0,270,1.8,0.0
-3.8,34,102120.0,290,3.5,0.0
-4.1,33,102170.0,290,1.7,0.0
-4.9,35,102220.0,270,1.6,0.0
-5,36,102250.0,270,2.4,0.0
-5,36,102250.0,290,4.2,0.0
-5.5,38,102270.0,290,3.1,0.0
-5.6,38,102300,270,3.4,0.0
-4.6,33,102340.0,290,4.4,0.0
-4.8,33,102350.0,290,4.6,0.0
-4.2,33,102390.0,290,4.8,0.0
-1.9,27,102440.00000000001,270,2.8,0.0
-0.4,22,102409.99999999999,290,3.9,0.0
0.1,22,102310.0,320,3.9,0.0
1.5,20,102220.0,290,2.7,0.0
2.5,18,102170.0,250,1.7,0.0
2.1,20,102140.0,140,1.5,0.0
0.7,22,102150.0,270,2.7,0.0
-0.5,24,102180.0,270,2.8,0.0
-1,27,102240.0,290,2,0.0
-1.1,26,102290.0,230,0.9,0.0
-1.5,25,102310.0,270,1.5,0.0
-1.8,25,102320.0,290,1.6,0.0
-2.2,26,102380.0,340,0.9,0.0
-2.4,27,102390.0,20,0.9,0.0
-3,30,102409.99999999999,250,0.5,0.0
-2.1,30,102450.0,200,1,0.0
-2.6,34,102470.0,160,1.2,0.0
-2.2,40,102520.0,340,2.1,0.0
-1.9,38,102540.00000000001,290,2.2,0.0
-2.6,41,102559.99999999999,70,0.6,0.0
-2.2,40,102570.0,340,1.7,0.0
-2.2,42,102600,320,1.9,0.0
-2.9,45,102650.0,290,1.6,0.0
-0.9,39,102730.0,360,1.1,0.0
0.4,33,102770.0,360,3.2,0.0
1.3,32,102759.99999999999,20,2.3,0.0
2.2,30,102690.00000000001,50,2,0.0
1.5,42,102650.0,20,3.7,0.0
1.6,41,102640.00000000001,360,3.9,0.0
1.7,38,102670.0,360,3.7,0.0
1.4,36,102730.0,360,5,0.0
0.2,40,102820.0,320,2.5,0.0
-0.9,36,102909.99999999999,290,2.8,0.0
-1.8,36,102959.99999999999,290,2.5,0.0
-2.5,38,102980.0,290,2.3,0.0
-3.2,45,103009.99999999999,290,2,0.0
-3.6,45,103059.99999999999,290,2.1,0.0
-3.8,45,103080.0,290,1.6,0.0
-3.3,41,103090.00000000001,270,2.3,0.0
-3.6,36,103100,270,1.8,0.0
-3.5,42,103109.99999999999,290,2.3,0.0
-3.7,48,103159.99999999999,270,1.8,0.0
-3.7,52,103180.0,270,1.1,0.0
-3.5,50,103180.0,270,2.3,0.0
-3.7,49,103209.99999999999,290,2.4,0.0
-3.9,51,103240.00000000001,290,2.1,0.0
-3.6,50,103280.0,290,2.1,0.0
-1.9,41,103330.0,290,1.4,0.0
1.1,34,103359.99999999999,320,1.2,0.0
2.4,32,103340.00000000001,360,1.3,0.0
3.2,37,103259.99999999999,20,1.7,0.0
3.6,37,103159.99999999999,20,1.8,0.0
3.6,40,103109.99999999999,50,2.2,0.0
3.3,41,103090.00000000001,20,2.2,0.0
2.6,44,103090.00000000001,360,1.5,0.0
1.5,48,103120.0,290,1.1,0.0
-0.4,54,103159.99999999999,290,2,0.0
-1,57,103170.0,290,2.1,0.0
-1.2,56,103140.00000000001,290,2.6,0.0
-1.3,53,103140.00000000001,270,1.7,0.0
-1.6,44,103109.99999999999,270,1.3,0.0
-1.7,37,103090.00000000001,270,1.8,0.0
-1.9,36,103030.0,290,1.9,0.0
-2,39,102980.0,290,2,0.0
-2.5,38,102980.0,270,1.9,0.0
-2,33,103009.99999999999,290,2.2,0.0
-2.4,31,102959.99999999999,290,1.5,0.0
-1.5,30,102950.0,270,1.8,0.0
-1.5,28,102940.00000000001,270,1.5,0.0
-2.1,31,102930.0,270,1.3,0.0
-1.2,29,102950.0,270,1.3,0.0
0,28,102940.00000000001,270,1.7,0.0
2.4,22,102909.99999999999,290,1.4,0.0
3.6,20,102870.0,320,1,0.0
5.2,22,102730.0,70,1.1,0.0
4.3,23,102650.0,140,0.8,0.0
4,16,102559.99999999999,320,1.3,0.0
3.9,15,102530.0,320,1.6,0.0
3.1,15,102520.0,360,2.2,0.0
3,14,102500,290,2.8,0.0
1.9,22,102540.00000000001,290,4.3,0.0
1.6,25,102559.99999999999,290,3.7,0.0
0.9,31,102550.0,320,1,0.0
0.2,34,102509.99999999999,200,1.2,0.0
0.5,36,102459.99999999999,140,0.8,0.0
0.5,38,102459.99999999999,290,2.2,0.0
0.5,40,102450.0,290,3.6,0.0
0.2,41,102450.0,290,2.7,0.0
-0.1,42,102490.00000000001,290,1.8,0.0
-0.6,47,102540.00000000001,340,1.1,0.0
-0.3,45,102520.0,290,2.2,0.0
-0.3,45,102530.0,270,2.6,0.0
-0.7,46,102559.99999999999,270,1.6,0.0
-0.3,45,102590.00000000001,290,2.7,0.0
-0.4,44,102580.0,290,1.1,0.0
0.6,40,102650.0,270,3.9,0.0
2.4,35,102690.00000000001,20,1.4,0.0
3.4,32,102640.00000000001,320,2,0.0
4.4,31,102540.00000000001,20,1.5,0.0
4.5,30,102440.00000000001,270,3.3,0.0
5.4,28,102350.0,270,1.8,0.0
5.7,27,102310.0,200,2.9,0.0
5,27,102290.0,290,3,0.0
4.4,28,102310.0,290,4.4,0.0
3.7,30,102340.0,270,3.4,0.0
3,32,102360.0,250,1.5,0.0
2.5,33,102380.0,230,2.4,0.0
1.6,34,102350.0,290,1.8,0.0
0.1,42,102360.0,290,1,0.0
-0.3,41,102370.0,270,1.1,0.0
-0.7,43,102340.0,270,1.2,0.0
-0.9,35,102320.0,250,0.7,0.0
-1.5,44,102350.0,320,1.7,0.0
-2.1,45,102360.0,290,1.1,0.0
-2,44,102360.0,270,1.8,0.0
-2.4,44,102400,290,0.9,0.0
-1,29,102390.0,290,0.9,0.0
-1.3,29,102370.0,140,0.8,0.0
-2.9,41,102340.0,290,1.9,0.0
-1.5,37,102400,290,1.4,0.0
2.1,28,102400,340,0.7,0.0
2.2,24,102310.0,360,1.8,0.0
3.2,18,102200,360,2.3,0.0
4.4,19,102130.0,340,2,0.0
4.5,17,102080.0,270,2.1,0.0
4,22,102060.0,270,3.9,0.0
3.4,22,102090.0,290,3.9,0.0
2.5,24,102110.0,290,2.3,0.0
1.7,25,102150.0,340,2.1,0.0
1.4,24,102150.0,340,3.6,0.0
0.6,25,102130.0,270,2.6,0.0
-0.6,27,102140.0,180,1.3,0.0
-0.6,27,102170.0,250,1.3,0.0
-0.2,28,102200,250,2.6,0.0
-0.2,25,102180.0,250,3.1,0.0
-0.9,25,102190.0,270,2.6,0.0
-1.2,25,102220.0,250,2.5,0.0
-1.6,24,102270.0,250,2.9,0.0
-2.1,26,102290.0,270,3.2,0.0
-2,25,102290.0,290,5.5,0.0
-2.6,27,102340.0,290,3.2,0.0
-3.4,30,102370.0,320,2.3,0.0
-4,31,102470.0,320,2.2,0.0
-2.8,31,102570.0,290,2.1,0.0
-2.2,30,102680.0,340,2.1,0.0
-1.2,27,102709.99999999999,320,2.8,0.0
-0.6,24,102670.0,340,2.3,0.0
-0.7,35,102620.0,360,3.6,0.0
-0.1,37,102590.00000000001,20,2.6,0.0
0.6,39,102590.00000000001,20,2.8,0.0
-0.1,43,102609.99999999999,360,1.6,0.0
-0.9,43,102659.99999999999,320,1.8,0.0
-2,46,102700,320,1.7,0.0
-3,48,102709.99999999999,320,1.6,0.0
-4.1,38,102690.00000000001,290,1.5,0.0
-3.3,31,102680.0,290,2.6,0.0
-3.8,29,102650.0,250,1.1,0.0
-4.6,31,102630.0,230,1.9,0.0
-4.5,25,102600,250,1.7,0.0
-3.4,17,102530.0,270,2.7,0.0
-4.2,20,102540.00000000001,250,2,0.0
-5.1,24,102509.99999999999,340,1.5,0.0
-4,15,102500,320,1.6,0.0
-3.9,14,102490.00000000001,270,1.5,0.0
-3.2,11,102470.0,230,3.1,0.0
-4.6,15,102450.0,270,0.6,0.0
-4.2,14,102440.00000000001,290,1.8,0.0
-2.8,14,102440.00000000001,180,3.4,0.0
-1.7,27,102440.00000000001,90,3.4,0.0
0.4,26,102360.0,290,2.1,0.0
1.5,27,102220.0,110,2.6,0.0
3,24,102100,90,2.7,0.0
2.4,25,102020.0,320,3.9,0.0
2.6,26,101970.0,270,3.2,0.0
1.7,31,101940.0,270,5.1,0.0
0.6,35,101980.0,270,3,0.0
0.3,38,101950.0,270,5.1,0.0
0.3,39,101960.0,320,3.1,0.0
0.2,41,101980.0,270,3.5,0.0
0.6,40,102000,290,4.1,0.0
-0.1,48,102040.0,290,4.2,0.0
-0.2,47,102090.0,290,3.3,0.0
-0.7,49,102080.0,290,1.4,0.0
0.5,43,102070.0,290,2.9,0.0
-0.8,50,102030.0,140,1.4,0.0
-0.2,47,102010.0,340,1.8,0.0
0.1,49,101960.0,320,2.1,0.0
0.1,54,101960.0,320,2.3,0.0
0.2,56,101920.0,320,2,0.0
0.2,56,101930.0,290,2.3,0.0
0.8,54,101940.0,270,2,0.0
1.8,50,101980.0,270,1.8,0.0
2.6,46,102020.0,290,2,0.0
2.9,40,102000,320,4,0.0
3.4,36,101910.0,320,4.4,0.0
4,33,101850.0,340,4.2,0.0
4.2,32,101810.0,340,3.7,0.0
4.3,29,101780.0,290,3.2,0.0
4.2,27,101780.0,290,4,0.0
3.5,24,101820.0,270,4.9,0.0
2.8,23,101860.0,290,5.3,0.0
2.3,26,101870.0,290,5.2,0.0
0.6,27,101900,200,0.8,0.0
-0.4,29,101930.0,290,1.9,0.0
0.5,25,101960.0,320,3.1,0.0
-0.2,26,101960.0,270,2.7,0.0
-0.7,27,101980.0,230,2.8,0.0
-1.8,30,102010.0,250,1.2,0.0
-2.3,33,102020.0,320,2,0.0
-2.1,31,102070.0,320,2.7,0.0
-2,30,102060.0,290,2,0.0
-1.5,26,102040.0,320,2,0.0
-1.8,28,102050.0,320,3,0.0
-3.2,31,102090.0,230,1,0.0
-2.8,30,102110.0,270,1.5,0.0
-0.2,26,102120.0,270,1.6,0.0
1.4,23,102160.0,290,2.4,0.0
3.3,18,102110.0,320,2.3,0.0
3.8,16,102020.0,290,3.2,0.0
3.5,18,101910.0,290,4,0.0
4.6,17,101780.0,270,1.7,0.0
4.2,18,101740.0,270,4.2,0.0
3.5,18,101760.0,270,3.5,0.0
2.7,24,101750.0,290,2.7,0.0
2.3,29,101740.0,320,2.9,0.0
1.1,32,101750.0,270,0.9,0.0
1.6,30,101740.0,270,2.1,0.0
1.3,31,101740.0,230,1,0.0
1.7,34,101750.0,270,3.8,0.0
0.6,37,101740.0,160,2.3,0.0
0.8,40,101740.0,200,1.8,0.0
0.5,39,101740.0,0,0.4,0.0
0.4,40,101790.0,250,2.6,0.0
0,41,101790.0,270,2.3,0.0
-1.3,42,101840.0,270,1.3,0.0
-1.3,47,101860.0,290,2.1,0.0
-1.8,49,101880.0,320,2,0.0
-1.4,48,101910.0,340,2.9,0.0
-2.4,48,101980.0,340,1.6,0.0
-1.8,48,102030.0,250,0.8,0.0
0,41,102090.0,340,1.7,0.0
0.7,36,102070.0,360,3.8,0.0
1.7,32,102010.0,360,2.3,0.0
2.4,33,101900,20,2,0.0
2.5,33,101900,20,2.2,0.0
2.3,36,101870.0,50,1.6,0.0
2,35,101930.0,340,1.4,0.0
1.1,41,101960.0,290,1.7,0.0
0,44,101970.0,290,1.7,0.0
-0.9,47,101930.0,290,1.9,0.0
-1.4,50,102000,270,1.5,0.0
-1.9,53,101970.0,290,1.6,0.0
-2.1,56,102000,270,1.1,0.0
-1.4,57,101970.0,270,2,0.0
-1.7,60,101940.0,270,1.7,0.0
-1.2,56,101950.0,270,2.2,0.0
-1.5,57,101960.0,270,2.4,0.0
-1.7,59,101910.0,290,2.4,0.0
-1.5,60,101870.0,270,2.3,0.0
-1.8,59,101830.0,290,2.6,0.0
-1.9,58,101840.0,270,2,0.0
-2.1,56,101840.0,290,1.9,0.0
-1.4,55,101900,290,2.1,0.0
-0.3,57,101930.0,320,1.7,0.0
