Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
0.2,79,1018.8,20,2.2,0.0
0,78,1018.9,20,1.4,0.0
-0.3,81,1018.5,50,1.9,0.0
-0.7,84,1018.8,50,2,0.0
-1.1,85,1018.6,20,1.6,0.0
-1.4,86,1018.3,50,1.4,0.0
-1.5,87,1018.1,20,1.6,0.0
-1.5,87,1018.6,20,1.4,0.0
-1.3,87,1019,20,1.4,2.777778
-0.4,83,1019.4,20,1.6,44.444448
0.8,77,1020.1,50,2.1,77.77778400000001
2.5,71,1019.9,50,1.9,197.222238
4,69,1018.7,50,1.3,238.88890800000001
5.1,65,1017.9,20,1.4,202.777794
6.7,61,1017.1,340,0.7,250.00002
6.9,65,1016.8,230,0.9,113.888898
6.8,67,1016.5,230,1.2,58.333338
6.5,69,1016.2,20,0.7,27.777780000000003
5.6,70,1015.8,50,2.4,2.777778
4.8,73,1015.5,50,2.2,0.0
4.2,73,1015.4,70,1.9,0.0
4,74,1014.6,50,2.6,0.0
3.9,75,1014.4,20,1.4,0.0
3.9,75,1014.1,20,1.4,0.0
3.9,75,1014.2,20,1.5,0.0
3.9,75,1013.5,50,2.1,0.0
3.8,77,1013,20,2.2,0.0
3.7,76,1013.3,50,1.7,0.0
3.7,77,1012.7,20,1.5,0.0
3.7,80,1012.2,20,1.5,0.0
3.6,89,1011.6,20,1.1,0.0
3.6,88,1011.6,360,1.1,0.0
3.8,87,1011.4,20,1.4,2.777778
4.1,87,1011.5,360,0.9,16.666668
5.2,86,1011.9,230,2.4,44.444448
6.3,82,1012,230,2.3,144.444456
7.6,70,1011.3,230,2.1,213.88890600000002
8.1,69,1010.8,230,3.1,300.00002400000005
9.2,59,1010.2,200,3.1,319.44446999999997
8.3,64,1010.3,250,3.6,197.222238
8,65,1010.7,250,3.2,122.222232
7.1,69,1011,250,2.3,52.777782
6.4,73,1011.4,270,2.1,5.555556
6,78,1011.6,250,2,0.0
5,81,1011.9,250,3.2,0.0
4.3,84,1012,270,3.1,0.0
3.7,78,1012.3,290,3,0.0
2.8,76,1012.8,320,2.8,0.0
1.8,79,1013.2,360,1.5,0.0
1,82,1013.3,270,2.6,0.0
0.2,83,1013.4,270,1.4,0.0
-0.7,79,1013.7,360,0.8,0.0
-1,72,1014.1,270,2.2,0.0
-1.3,73,1014.1,290,1.9,0.0
-1.8,73,1013.9,270,1.4,0.0
-2.1,72,1014.2,250,1.4,0.0
-2.1,67,1014.6,270,1.2,2.777778
-1.4,60,1015,0,0.1,69.44445
1.1,55,1015,250,0.8,191.66668199999998
4.1,53,1014.7,200,1.2,313.888914
5.9,44,1014,200,2.4,391.666698
7,39,1013.2,200,3,425.000034
7,43,1012.7,250,3.2,361.11114000000003
7.2,47,1012.6,250,3.7,313.888914
6.9,48,1012.4,230,3.3,202.777794
5.3,56,1012.4,270,2.8,86.111118
3.8,60,1012.1,270,2.6,5.555556
2.8,61,1012.4,270,1.9,0.0
2.2,61,1012.7,270,2.1,0.0
1.8,60,1012.8,270,1.8,0.0
1.7,63,1012.8,270,1.6,0.0
1.2,68,1012.8,290,0.9,0.0
1,71,1013,0,0.4,0.0
1.8,72,1012.6,0,0.2,0.0
1.9,70,1012.6,360,0.7,0.0
2.1,70,1012.7,20,0.5,0.0
2.2,70,1012.5,20,0.7,0.0
2.5,72,1012.6,20,1,0.0
2.5,74,1012.3,360,1.1,0.0
2.5,74,1012.8,20,1.2,0.0
1.9,77,1013.3,360,0.8,2.777778
1.9,73,1013.9,360,0.9,61.111116
4,75,1014.2,270,2.4,180.55557000000002
6,65,1014.4,270,2.4,302.77780200000007
6.4,56,1013.4,270,3.5,402.77781
7.7,51,1012.8,250,2.9,411.111144
8.5,45,1012.4,230,3.5,397.222254
8.7,32,1012.1,250,2.8,333.33336
8.4,35,1012.3,270,3.5,225.00001800000004
6.6,37,1012.2,270,2.5,88.888896
5.1,40,1013.1,270,2.3,5.555556
4.6,42,1013.7,290,2.5,0.0
3.8,48,1013.8,270,2.8,0.0
2.9,45,1013.8,110,1,0.0
2.1,49,1013.9,290,1,0.0
1.8,51,1014.2,0,0.4,0.0
1.3,50,1014.5,230,1.3,0.0
0.7,56,1014.9,270,0.8,0.0
0.3,60,1015.1,0,0.3,0.0
0.1,57,1015.2,50,1.4,0.0
0.1,54,1015.3,20,0.7,0.0
0.1,57,1015.2,20,1.9,0.0
0.2,56,1015.3,50,1.7,0.0
0.6,54,1015.8,50,2.6,0.0
1.2,51,1016.2,70,2.6,2.777778
1.9,47,1016.6,70,2.1,52.777782
3,43,1017.1,50,3.4,100.000008
4.2,46,1017.2,50,3.1,144.444456
5.5,47,1016.9,50,3.1,188.88890400000003
6.4,50,1016.4,50,4.6,188.88890400000003
7,50,1016.1,70,5,194.44446
7.2,49,1016.3,70,4,155.55556800000002
7,49,1016.4,50,4.3,94.44445200000001
6.7,49,1016.5,50,4.3,52.777782
6.4,50,1016.8,50,3.7,11.111112
6.2,52,1017.1,50,3.9,0.0
5.7,54,1017.5,50,4.9,0.0
5.2,55,1017.7,50,4.8,0.0
4.9,56,1017.9,50,4.2,0.0
4.5,57,1017.8,50,4.7,0.0
4.1,57,1017.8,50,4.2,0.0
4.1,57,1017.7,50,4.2,0.0
3.9,58,1017.6,50,4.2,0.0
3.7,59,1017.8,50,4.1,0.0
3.4,60,1017.4,50,3.3,0.0
3.4,60,1017.3,50,3.2,0.0
3.1,62,1017.3,50,3.3,0.0
3,62,1017.9,50,2.9,0.0
2.6,64,1017.6,50,3.2,2.777778
3.1,61,1017.9,50,3.2,58.333338
4.6,58,1018.1,70,2.4,130.555566
6.1,53,1017.8,70,2,183.33334800000003
7.6,46,1016.7,50,1.5,275.000022
9.9,46,1015.9,140,1.4,430.55559000000005
9.2,48,1015.1,250,1.9,247.22224200000002
10.9,44,1014.4,270,1.3,325.000026
11,45,1014.2,160,1.5,213.88890600000002
9.1,51,1014.3,250,1.3,80.555562
7.3,57,1014.5,270,1.3,8.333334
6.3,62,1015,270,1.9,0.0
5.4,65,1015,250,1.5,0.0
4.7,67,1014.9,320,1.1,0.0
4.4,70,1014.9,0,0.3,0.0
3.6,70,1014.7,360,0.7,0.0
3,72,1014,50,1.3,0.0
2.7,73,1013.8,0,0.4,0.0
2.3,76,1013.6,20,0.9,0.0
2.1,78,1013.8,360,1,0.0
1.6,81,1013.2,20,0.7,0.0
1.1,82,1013,360,0.7,0.0
0.8,82,1013,20,0.9,0.0
