Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
-1.4,26,102690.00000000001,270,2.8,0.0
-1.7,33,102709.99999999999,270,3.5,0.0
-2.2,45,102690.00000000001,290,2.1,0.0
-2.1,53,102720.0,290,3.3,0.0
-2.6,55,102680.0,290,1.9,0.0
-2.7,55,102570.0,290,1.6,0.0
-2.6,55,102640.00000000001,340,1.8,0.0
-2.5,55,102650.0,320,2.6,0.0
-2.2,54,102670.0,320,1.8,0.0
-1.9,54,102630.0,320,2.5,33.333336
-1.2,51,102630.0,290,2.5,186.111126
-0.3,45,102580.0,290,4.6,172.222236
0.9,44,102470.0,290,4.3,352.777806
2,40,102320.0,290,4.5,475.000038
2,40,102270.0,290,5.3,372.222252
2.6,40,102270.0,320,5,366.66669600000006
2,42,102310.0,290,5.7,255.55557600000003
1.1,45,102330.0,290,6.1,86.111118
0.5,48,102370.0,290,5.7,0.0
0,51,102420.0,290,4.7,0.0
-0.1,48,102470.0,290,5.2,0.0
-0.6,49,102459.99999999999,290,4.5,0.0
-1,49,102440.00000000001,290,4.3,0.0
-1.4,50,102470.0,290,4.7,0.0
-1.9,51,102540.00000000001,290,3.1,0.0
-2.3,52,102600,290,2.9,0.0
-2.6,52,102640.00000000001,290,3.2,0.0
-2.9,52,102659.99999999999,290,3.2,0.0
-3.1,50,102650.0,270,3.1,0.0
-3.3,48,102690.00000000001,270,2.7,0.0
-3.9,51,102709.99999999999,290,1.7,0.0
-3.6,53,102709.99999999999,290,2.6,0.0
-3.4,54,102740.00000000001,270,2.2,0.0
-1.9,52,102800,290,1.7,102.777786
-0.9,49,102800,290,3.1,266.666688
0.3,43,102740.00000000001,320,4.1,405.555588
1.1,35,102600,320,3,502.777818
2.6,28,102470.0,290,5,533.333376
3.5,23,102409.99999999999,290,4.4,508.33337400000005
3.9,21,102409.99999999999,290,4.1,416.6667
3.6,21,102430.0,320,2.8,275.000022
2.4,21,102430.0,320,3,100.000008
1.4,25,102480.0,320,2.6,0.0
0.7,28,102540.00000000001,340,2,0.0
0.1,32,102570.0,290,1.5,0.0
-0.5,34,102570.0,320,1.8,0.0
-0.8,39,102559.99999999999,320,1.5,0.0
-1.1,42,102600,290,1.1,0.0
-1.5,44,102620.0,290,1.8,0.0
-2.1,43,102650.0,320,1.6,0.0
-2.6,39,102690.00000000001,290,1,0.0
-2.5,34,102709.99999999999,290,3.4,0.0
-2.8,38,102709.99999999999,290,2.5,0.0
-3.1,47,102700,270,2.1,0.0
-3.2,49,102690.00000000001,270,2.6,0.0
-3.2,50,102720.0,290,2.5,0.0
-2.6,46,102740.00000000001,290,2.8,2.777778
-1.6,44,102820.0,270,2.7,111.11112000000001
-0.2,35,102859.99999999999,270,3.2,277.7778
1.2,25,102850.0,290,3.6,419.444478
2.6,21,102759.99999999999,290,2.7,508.33337400000005
3.7,19,102680.0,270,3.5,541.66671
4.6,15,102600,270,4.2,508.33337400000005
5.4,13,102600,270,4,413.88892200000004
5.3,13,102600,270,3.4,272.222244
4.6,13,102640.00000000001,290,2.6,102.777786
3.2,14,102620.0,250,0.6,0.0
1.1,25,102659.99999999999,20,1.2,0.0
0.4,23,102720.0,290,1.3,0.0
-0.6,27,102730.0,0,0.1,0.0
-2,32,102700,140,1,0.0
-2.5,33,102720.0,0,0.1,0.0
-3.6,39,102680.0,0,0.3,0.0
-4,43,102700,0,0.4,0.0
-4.6,48,102730.0,0,0.1,0.0
-4.9,45,102700,0,0.1,0.0
-5.4,50,102590.00000000001,110,1.3,0.0
-5.9,57,102559.99999999999,0,0.3,0.0
-5.5,54,102600,340,1.1,0.0
-6.3,55,102540.00000000001,90,0.5,0.0
-6.2,58,102500,0,0.3,2.777778
-3.9,52,102580.0,360,0.6,105.555564
-1.5,39,102530.0,70,0.9,261.111132
2.2,25,102450.0,270,2,400.000032
4.4,18,102320.0,290,2.6,488.888928
5.1,15,102160.0,270,2.3,338.888916
6,14,102160.0,270,3.7,200.000016
6.4,14,102080.0,270,3.3,386.111142
6.4,13,102050.0,270,3.3,158.333346
5.7,19,102030.0,290,2.6,75.00000600000001
4.9,27,102080.0,320,2.6,0.0
4.5,31,102040.0,290,2.8,0.0
3.6,39,102040.0,290,2.9,0.0
