Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
-5.5,54,102409.99999999999,290,1,0.0
-5.9,56,102400,270,1.8,0.0
-6.5,60,102420.0,290,1.2,0.0
-6.9,62,102430.0,270,2.2,0.0
-7.2,57,102390.0,270,1.2,0.0
-7.6,59,102360.0,270,2.1,0.0
-7.9,60,102360.0,290,1.3,0.0
-7.7,58,102310.0,320,1.3,0.0
-7.7,57,102300,360,0.9,0.0
-7,50,102320.0,290,0.9,47.222226000000006
-4.9,44,102330.0,290,1.6,191.66668199999998
-3.7,41,102300,290,2.5,347.22225000000003
-2.8,47,102200,290,2.8,391.666698
-1.5,49,102090.0,270,2.7,394.444476
-1.7,51,102040.0,290,3.5,300.00002400000005
-1.5,46,102070.0,270,3,183.33334800000003
-0.9,45,102060.0,270,3.2,241.666686
-1.8,48,102090.0,290,2.2,77.77778400000001
-2.7,45,102100,270,2.6,2.777778
-3.2,45,102180.0,270,3.2,0.0
-3.9,42,102220.0,290,3.5,0.0
-4.6,36,102260.0,340,2.6,0.0
-5.4,43,102290.0,290,3.1,0.0
-6,48,102270.0,20,1.1,0.0
-6.7,50,102300,320,1.3,0.0
-7.2,52,102320.0,290,0.8,0.0
-7.8,54,102360.0,270,1.3,0.0
-8,55,102360.0,290,0.9,0.0
-8.4,59,102310.0,270,1.3,0.0
-8.5,57,102290.0,290,0.8,0.0
-8.5,57,102330.0,270,0.6,0.0
-8.5,61,102380.0,320,0.7,0.0
-8.7,63,102450.0,290,0.8,0.0
-7.5,51,102509.99999999999,320,1.4,72.222228
-5.6,40,102540.00000000001,320,1.5,244.444464
-4.1,33,102480.0,320,2.2,377.77780800000005
-2.8,29,102380.0,320,3.2,469.444482
-1.8,26,102280.0,320,3,502.777818
-0.2,22,102220.0,270,2.5,480.55559400000004
0,23,102220.0,290,2.6,397.222254
0,22,102220.0,320,2,261.111132
-1,32,102210.0,270,1.8,102.777786
-2.6,37,102280.0,270,2.2,2.777778
-3.3,39,102300,270,2,0.0
-3.9,43,102300,290,1.1,0.0
-4.4,44,102290.0,270,1.7,0.0
-4.3,47,102310.0,320,2,0.0
-4.6,47,102350.0,290,1.6,0.0
-5.4,46,102380.0,290,2.4,0.0
-6.1,48,102380.0,320,0.8,0.0
-7,53,102400,290,0.8,0.0
-7.5,51,102420.0,290,0.7,0.0
-7.7,53,102400,270,2.4,0.0
-8,57,102409.99999999999,290,1.1,0.0
-8.1,54,102450.0,270,1.7,0.0
-8.3,58,102450.0,360,0.7,0.0
-8.4,56,102470.0,290,0.9,0.0
-7.7,43,102530.0,20,0.5,69.44445
-4.8,33,102580.0,320,1,238.88890800000001
-2.4,30,102580.0,290,1.3,375.00003000000004
-0.4,26,102500,290,1.9,466.666704
1.1,22,102409.99999999999,270,1.4,497.22226200000006
2.4,20,102340.0,180,1.9,469.444482
2.9,20,102320.0,180,2.3,380.55558600000006
3.2,19,102290.0,180,1.7,255.55557600000003
1.5,20,102300,290,1.2,100.000008
-0.4,22,102330.0,270,1.6,2.777778
-0.9,24,102420.0,290,2,0.0
-1.7,45,102500,270,1.5,0.0
-2.7,47,102409.99999999999,290,0.7,0.0
-3.3,42,102400,290,0.7,0.0
-3.9,41,102459.99999999999,270,1.3,0.0
-3.9,47,102430.0,290,0.8,0.0
-4.1,46,102390.0,0,0.4,0.0
-4.5,44,102400,20,0.6,0.0
-4.9,47,102320.0,50,1.1,0.0
-5.2,50,102300,20,0.6,0.0
-5.5,47,102250.0,360,0.7,0.0
-5.8,50,102210.0,20,0.8,0.0
-6,55,102150.0,50,1.2,0.0
-6.1,54,102140.0,20,1.1,0.0
-5.4,49,102190.0,50,1.3,61.111116
-3.5,40,102210.0,360,0.7,175.00001400000002
-1.5,37,102150.0,360,1,202.777794
-0.4,34,102050.0,360,0.7,177.777792
1.1,40,102010.0,230,1.5,219.44446200000002
3.1,36,101920.0,200,2.5,352.777806
3.9,40,101820.0,230,2.7,341.666694
3,49,101780.0,250,1.6,141.66667800000002
2.7,61,101730.0,270,1.3,50.000004
2.3,69,101740.0,250,1.5,0.0
1.5,74,101720.0,230,1,0.0
1.4,75,101710.0,270,1.2,0.0
1.4,75,101660.0,270,1.8,0.0
0.7,79,101630.0,250,1.1,0.0
0.1,81,101620.0,290,1,0.0
-0.2,80,101580.0,270,1.7,0.0
-0.4,81,101610.0,320,2.2,0.0
-1.5,75,101650.0,290,3,0.0
-2.2,75,101660.0,320,2.1,0.0
-2.9,65,101620.0,360,1.4,0.0
-3.8,61,101620.0,340,1.2,0.0
-4.5,58,101630.0,320,0.6,0.0
-4.6,50,101620.0,340,1.6,0.0
-4.5,46,101680.0,320,3.3,0.0
-4.7,47,101720.0,320,2.9,66.666672
-4,45,101790.0,320,3.5,225.00001800000004
-2.8,38,101810.0,320,3.7,352.777806
-2,34,101730.0,290,3.6,372.222252
-0.7,30,101680.0,290,2.8,494.44448400000005
-0.5,25,101620.0,290,2.4,488.888928
0.6,20,101590.0,270,3.5,400.000032
0.4,21,101550.0,320,2.7,275.000022
-0.3,21,101530.0,290,1.9,113.888898
-1.5,23,101580.0,270,1.6,2.777778
-2.1,26,101610.0,290,1.5,0.0
-2.6,28,101590.0,290,1.7,0.0
-2.9,28,101640.0,340,1.8,0.0
-3.9,31,101680.0,290,1.7,0.0
-4.8,35,101700,290,1.5,0.0
-5.5,37,101710.0,290,1.4,0.0
-6,37,101730.0,290,1.8,0.0
-6.3,38,101760.0,290,0.9,0.0
-5.9,37,101770.0,0,0.1,0.0
-5.7,35,101710.0,340,0.8,0.0
-5.6,36,101690.0,0,0.3,0.0
-5.4,35,101700,360,0.5,0.0
-5.3,38,101690.0,50,1.2,0.0
-5.7,39,101770.0,360,0.7,0.0
-5.2,38,101820.0,320,0.9,41.66667
-4.2,35,101860.0,0,0.3,119.44445400000001
-1.3,31,101850.0,250,1.7,322.222248
0.2,28,101830.0,270,2.2,450.0000360000001
1.6,21,101690.0,250,1.3,497.22226200000006
1.8,22,101690.0,270,2.1,472.22226
2.1,21,101670.0,290,2.8,391.666698
2.5,22,101720.0,290,1.8,266.666688
0.8,28,101730.0,290,1.8,113.888898
-0.9,28,101760.0,290,1.6,2.777778
-1.7,35,101810.0,270,2.4,0.0
-2.3,48,101810.0,230,0.7,0.0
-3.1,48,101820.0,270,1.3,0.0
-3.7,49,101810.0,0,0.2,0.0
-3.8,48,101810.0,0,0.4,0.0
-4.1,45,101740.0,20,0.5,0.0
-4.3,51,101770.0,290,1.2,0.0
-4.5,55,101820.0,290,0.9,0.0
-4.9,56,101840.0,290,0.6,0.0
-5.2,57,101830.0,270,1.3,0.0
-5.5,59,101810.0,0,0.2,0.0
-5.9,57,101800,20,0.7,0.0
-6.2,56,101800,20,0.6,0.0
-6,52,101810.0,360,0.5,0.0
-5.4,51,101860.0,50,0.9,61.111116
-2.3,46,101880.0,180,1.6,205.555572
-0.5,40,101870.0,320,2,316.666692
0.6,33,101770.0,320,2.8,427.77781200000004
1.4,31,101720.0,320,2.4,441.66670200000004
1.7,34,101680.0,320,3.6,386.111142
2.6,34,101660.0,290,3,322.222248
2.7,31,101660.0,290,1.9,180.55557000000002
1.7,29,101660.0,320,1.8,75.00000600000001
0.6,34,101660.0,290,1.1,2.777778
0.2,41,101640.0,290,1.6,0.0
-0.3,55,101670.0,290,2,0.0
-0.6,63,101660.0,290,0.9,0.0
-1.4,64,101640.0,290,0.8,0.0
-1.9,52,101650.0,320,0.8,0.0
-2.2,43,101640.0,290,1.8,0.0
